year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2023,200,Ukraine,UKR,UKR,111,Liechtenstein,LIE,LIE,577,0,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,113,Lithuania,LTU,LTU,77340,5,10000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,114,Luxembourg,LUX,LUX,5365,40,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,115,Latvia,LVA,LVA,44307,5,4000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,120,North Macedonia,MCD,MKD,18703,0,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,122,Rep. of Moldova,MDA,MDA,120564,131,6000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,124,Mexico,MEX,MEX,85,126,0,0,0,0,10,NA,0
2023,200,Ukraine,UKR,UKR,133,Montenegro,MNE,MNE,64640,0,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,132,Malta,MTA,MLT,2192,89,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,137,Nepal,NEP,NPL,0,6,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,138,Netherlands (Kingdom of the),NET,NLD,105338,1290,1000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,141,Nigeria,NIG,NGA,0,5,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,143,Norway,NOR,NOR,66450,948,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,145,New Zealand,NZL,NZL,10,14,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,148,Panama,PAN,PAN,19,5,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,149,Paraguay,PAR,PRY,9,0,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,150,Peru,PER,PER,30,90,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,151,Philippines,PHI,PHL,0,45,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,154,Poland,POL,POL,955891,1005,122000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,155,Portugal,POR,PRT,51566,17,1000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,158,Romania,ROM,ROU,81493,6,28000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,160,Russian Federation,RUS,RUS,1227554,257,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,173,Spain,SPA,ESP,191327,1145,12000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,164,Serbia and Kosovo: S/RES/1244 (1999),SRB,SRB,4063,0,0,0,0,0,49,NA,0
2023,200,Ukraine,UKR,UKR,180,Slovakia,SVK,SVK,124962,0,9000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,181,Slovenia,SVN,SVN,9467,47,3000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,183,Sweden,SWE,SWE,43467,1111,3000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,184,Switzerland,SWI,CHE,66419,225,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,195,Tunisia,TUN,TUN,0,21,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,196,Türkiye,TUR,TUR,3232,0,2000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,262,Unknown ,UKN,UNK,0,0,19000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,200,Ukraine,UKR,UKR,0,0,0,3689000,1318680,0,958361,NA,0
2023,200,Ukraine,UKR,UKR,201,Uruguay,URU,URY,18,0,0,0,0,0,0,NA,0
